id,PositionTitle,Designation,Agency,Locations,VacancyType,Vacancy6MonthsOrLess,EmploymentCategory,NumberOfVacancies,NumberOfVacancies Several ,NumberOfApplicants,NumberOfSuccessfulApplicants
186697,Registrar,"REGISTRAR REG1-REG6, SENIOR REGISTRAR SREG1-SREG2",Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,Medical,2,,19,0
186701,Fire Management Officer – Preparedness and Engagement,TECHNICAL 3,"Department of Environment, Parks and Water Security",Alice Springs,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Program and Project Management",1,,9,1
186711,Senior Ranger,TECHNICAL 3,"Department of Tourism, Sport and Culture",Batchelor,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Tourism and Culture, Program and Project Management",1,,12,1
186714,Special Education Support Officer,ADMINISTRATIVE OFFICER 4 96%,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,"Education and Training, Administration and Business Services",1,,3,0
186725,On-call Duty Medical Officer,"RURAL MEDICAL PRACTITIONER RL3.1-RL3.5, SNR RURAL MEDICAL PRACTITIONER RL4.1-4.4",Department of Health,Darwin,Casual,,"Medical, Allied Health and Health Care Services",,Several,12,0
186756,Executive Assistant  ,ADMINISTRATIVE OFFICER 4,"Department of Industry, Tourism and Trade",Darwin,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,45,0
186766,Customer Care Advisor,JACANA ENERGY LEVEL 1,Jacana Energy,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,,Several,216,6
186775,Breast Care Nurse,NURSE LEVEL 4,Department of Health,Darwin,Ongoing (Permanent) - Part Time,,"Allied Health and Health Care Services, Nursing and Midwifery",1,,9,1
186778,Senior System Controller,PWC SENIOR OPERATOR,Power and Water Corporation,Darwin,Ongoing (Permanent) - Full Time,,"Engineering, Trades, Maintenance and Services",1,,26,1
186782,Planning and Travel Coordinator ,ADMINISTRATIVE OFFICER 4,Department of Health,Darwin,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,0,0
186788,Project and Communications Officer,ADMINISTRATIVE OFFICER 5,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Program and Project Management",1,,28,1
186790,Planning and Travel Coordinator ,ADMINISTRATIVE OFFICER 4,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Allied Health and Health Care Services",1,,66,4
186796,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",Territory Families,"Alice Springs, Tennant Creek",Ongoing (Permanent) - Full Time,,"Child Protection, Professional, Social Work, Community Services",,Several,14,0
186798,Business Team Leader,ADMINISTRATIVE OFFICER 7,Territory Families,Palmerston,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Community Services, Program and Project Management",1,,18,0
186801,eLearning System Administrator,ADMINISTRATIVE OFFICER 5,"NT Police, Fire and Emergency Services",Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Police, Fire and Emergency Workers",1,,13,1
186802,Teaching and Learning Officer,SENIOR TEACHER 1,Department of Education,Nhulunbuy,Fixed (Temporary) - Full Time,,Education and Training,1,,10,0
186810,Elective Bookings Scheduler,ADMINISTRATIVE OFFICER 4,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Medical",2,,36,0
186811,Clinical Nurse Educator,NURSE LEVEL 4,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Education and Training, Allied Health and Health Care Services",1,,4,0
186822,Team Leader - Adult Allied Health Team,PROFESSIONAL 3,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Professional, Aged and Disability Care",1,,5,1
186826,Learning Development Officer,ADMINISTRATIVE OFFICER 7,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Education and Training",1,,32,0
186830,EXECUTIVE ASSISTANT,ADMINISTRATIVE OFFICER 3,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,YES,Administration and Business Services,1,,0,0
186851,Business Manager,ADMINISTRATIVE OFFICER 6,"Department of Industry, Tourism and Trade",Darwin,Fixed (Temporary) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,23,1
186853,Business Support Officer,ADMINISTRATIVE OFFICER 4,"Department of Industry, Tourism and Trade",Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,72,1
186857,Management Accounting Officer,PWC BAND 2 ADMIN CORPORATE SERVICES FT,Power and Water Corporation,Darwin,Fixed (Temporary) - Full Time,YES,"Accounting and Finance, Administration and Business Services",1,,49,0
186858,Occupational Therapist,PROFESSIONAL 2,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Aged and Disability Care, Allied Health and Health Care Services, Professional",,Several,1,1
186882,Specialist  Anaesthetist,SPECIALIST CLINICIAN,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Medical, Allied Health and Health Care Services",,Several,12,8
186888,Sheriff,ADMINISTRATIVE OFFICER 7,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Legal",1,,27,1
186891,Training Advisor,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Education and Training, Information and Communication Technology (ICT)",1,,11,1
186897,MAX Officer,ADMINISTRATIVE OFFICER 5,"Department of Industry, Tourism and Trade",Darwin,Fixed (Temporary) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,13,1
186900,Families as First Teachers Family Liaison Officer,ADMINISTRATIVE OFFICER 4 92%,Department of Education,Milikapiti-Snake Bay,Fixed (Temporary) - Part Time,YES,"Education and Training, Administration and Business Services",1,,1,0
186923,Medical Intern,INTERN/RESIDENT MO1-MO3,Department of Health,"Alice Springs, Darwin",Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Medical, Nursing and Midwifery",,Several,233,0
186924,Nurse Practitioner - Aged Care,NURSE LEVEL 6 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,5,0
186931,Senior Project Officer,ADMINISTRATIVE OFFICER 7,Department of Trade Business and Innovation,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Executive and Senior Management, Program and Project Management",1,,22,1
186932,Executive Director Ship Lift,EXECUTIVE OFFICER 2 - EXECUTIVE CONTRACT,Department of Trade Business and Innovation,Darwin,Fixed (Temporary) - Full Time,,Executive and Senior Management,1,,9,1
186933,Senior Business Manager,ADMINISTRATIVE OFFICER 7,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services, Executive and Senior Management, Human Resources and Work Health Safety",1,,24,1
186938,Pre Registration Pharmacist,PROFESSIONAL 1,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Professional",1,,62,1
186943,Administration Support Officer,ADMINISTRATIVE OFFICER 3,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Police, Fire and Emergency Workers",1,,179,1
186947,Nurse Clinical Coordinator (Inpatient Unit),NURSE LEVEL 5 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,0,0
186948,Clinical Nurse Specialist,NURSE LEVEL 4,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,0,0
186950,Legal Services Officer ,ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Legal",1,,25,1
186951,Surveyor (Infrastructure),PROFESSIONAL 2,"Department of Infrastructure, Planning and Logistics",Darwin,Ongoing (Permanent) - Full Time,,"Professional, Science",1,,11,1
186961,Field Supervisor Remote Electrical ,PWC SENIOR TECHNICAL COORDINATOR,Power and Water Corporation,Darwin,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,27,1
186967,Administration Support Officer,ADMINISTRATIVE OFFICER 3,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Police, Fire and Emergency Workers",1,,129,1
186976,Prisoner Support Officer,ADMINISTRATIVE OFFICER 5,Department of the Attorney-General and Justice,Palmerston,Ongoing (Permanent) - Full Time,,"Prison Services, Administration and Business Services",5,,113,4
186979,Field Supervisor Generation,PWC SENIOR TECHNICAL COORDINATOR,Power and Water Corporation,Darwin,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services, Program and Project Management",1,,23,1
186987,Field Supervisor Metering,PWC SENIOR TECHNICAL COORDINATOR,Power and Water Corporation,Darwin,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,25,1
186991,Systems Administrator,ADMINISTRATIVE OFFICER 4,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,36,1
186992,Fire Management Officer – Preparedness and Engagement ,TECHNICAL 3,"Department of Environment, Parks and Water Security",Katherine,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Program and Project Management",1,,11,1
186993,Fire Management Officer – Risk Management,TECHNICAL 3,"Department of Environment, Parks and Water Security",Alice Springs,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation",1,,9,1
186995,Elective Surgery Waitlist Manager,ADMINISTRATIVE OFFICER 6,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,10,0
186996,Fire Management Officer – Risk Management  ,TECHNICAL 3,"Department of Environment, Parks and Water Security",Katherine,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation",1,,6,1
187000,Asset and Ledger Services Officer,ADMINISTRATIVE OFFICER 4,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,37,0
187004,Principal Procurement Strategy and Capability Officer ,SENIOR ADMINISTRATIVE OFFICER 1,Department of Trade Business and Innovation,Darwin,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Procurement, Grants and Contract Management",1,,5,1
187007,Senior Pilot,SENIOR PILOT NT POLICE,"NT Police, Fire and Emergency Services","Alice Springs, Darwin",Fixed (Temporary) - Full Time,,"Police, Fire and Emergency Workers",3,,77,3
187020,"Catering Assistant, Launderer, Domestic",PHYSICAL 2,Department of Health,Katherine,Casual,YES,"Hospitality and Food Services, Allied Health and Health Care Services",,Several,25,2
187027,Manager Service Standards and Innovation,SENIOR ADMINISTRATIVE OFFICER 1,Territory Families,Darwin,Ongoing (Permanent) - Full Time,,"Child Protection, Community Services",1,,14,1
187033,Team Leader,PROFESSIONAL 3,Territory Families,Darwin,Ongoing (Permanent) - Full Time,,"Child Protection, Community Services, Social Work, Professional",,Several,11,2
187045,Principal Policy Officer,SENIOR PROFESSIONAL OFFICER 1,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Professional, Child Protection, Community Services, Medical, Social Work, Allied Health and Health Care Services",1,,2,1
187054,Risk and Audit Manager,SENIOR ADMINISTRATIVE OFFICER 1,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Executive and Senior Management",1,,10,0
187062,Simulation Technician,TECHNICAL 4,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Education and Training, Engineering, Trades, Maintenance and Services",1,,9,0
187073,Finance Manager,EXECUTIVE OFFICER 1 - EXECUTIVE CONTRACT,Territory Generation,Darwin,Fixed (Temporary) - Full Time,,"Accounting and Finance, Executive and Senior Management",1,,52,1
187078,Data Analyst,PWC BAND 2 ADMIN CORPORATE SERVICES FT,Power and Water Corporation,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Procurement, Grants and Contract Management",1,,71,1
187082,Executive Information Coordinator,ADMINISTRATIVE OFFICER 3,"Department of Infrastructure, Planning and Logistics",Alice Springs,Fixed (Temporary) - Full Time,YES,Administration and Business Services,1,,18,1
187083,"Manager, Project Management Office",JACANA ENERGY LEVEL 4,Jacana Energy,Darwin,Ongoing (Permanent) - Full Time,,"Program and Project Management, Administration and Business Services",1,,67,0
187084,Communications and Social Media Officer,ADMINISTRATIVE OFFICER 6,Territory Families,Darwin,Fixed (Temporary) - Part Time,YES,"Administration and Business Services, Communication, Media and Public Relations",1,,65,0
187088,Senior Technical Analyst,ADMINISTRATIVE OFFICER 7,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Information and Communication Technology (ICT), Program and Project Management",,Several,16,2
187112,Teacher Positive Learning Centre,CLASSROOM TEACHER,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Education and Training,1,,16,1
187113,Senior Program Officer,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Procurement, Grants and Contract Management",1,,19,1
187117,Assistant Director,SENIOR ADMINISTRATIVE OFFICER 1,Department of Treasury and Finance,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Executive and Senior Management, Legal",1,,11,1
187126,Systems Training Officer,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Education and Training, Administration and Business Services",1,,9,1
187133,Manager Economics and Pricing,EXECUTIVE CONTRACT MANAGER,Power and Water Corporation,Darwin,Fixed (Temporary) - Full Time,,Executive and Senior Management,1,,2,0
187135,Systems Support Officer,ADMINISTRATIVE OFFICER 4,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Human Resources and Work Health Safety, Administration and Business Services",1,,41,0
187136,Senior Specialist Clinician Obstetrics and Gynaecology,"SPECIALIST CLINICIAN, SENIOR SPECIALIST CLINICIAN",Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Medical, Allied Health and Health Care Services",1,,8,0
187142,Information Communication Technology Manager,ADMINISTRATIVE OFFICER 7,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,31,1
187148,Alice Springs Customer Service Manager,PWC BAND 3 ADMIN CORPORATE SERVICES FT,Power and Water Corporation,Alice Springs,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,58,1
187155,Asset Engineer - Aero and Small Industrial Turbines,TGEN BAND 3 PROFESSIONAL,Territory Generation,Darwin,Ongoing (Permanent) - Full Time,,"Engineering, Procurement, Grants and Contract Management, Program and Project Management, Trades, Maintenance and Services",1,,48,1
187160,Performance Officer,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Information and Records Management, Program and Project Management",1,,36,1
187162,Office Manager,ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Legal",1,,25,1
187164,Families as First Teachers Family Liaison Officer,ADMINISTRATIVE OFFICER 4 92%,Department of Education,Katherine,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,4,1
187174,Project Officer,ADMINISTRATIVE OFFICER 5,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Program and Project Management",1,,0,0
187177,Principal,PRINCIPALS (NON CONTRACT) PL1,Department of Education,Umbakumba,Fixed (Temporary) - Full Time,,Education and Training,1,,7,0
187186,Prosecutor,PROFESSIONAL 2,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Professional, Community Services, Legal",1,,18,1
187200,Senior Pharmacist - Dispensary Services,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Professional",1,,4,1
187207,Clinical Midwife Manager Midwifery Group Practice,NURSE LEVEL 6 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,Nursing and Midwifery,1,,7,0
187209,Occupational Therapist,PROFESSIONAL 2,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Part Time,,"Allied Health and Health Care Services, Medical",1,,1,0
187220,Senior Psychologist Cancer Services,PROFESSIONAL 3,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Full Time,,Allied Health and Health Care Services,1,,1,1
187231,Environmental Services Multi-Skilled Housekeeper,PHYSICAL 3 - RDO,Department of Health,Nhulunbuy,Ongoing (Permanent) - Full Time,,Housekeeping Services,1,,10,1
187232,Trainer Assessor,ADMINISTRATIVE OFFICER 6,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Education and Training, Administration and Business Services",1,,19,1
187234,Environmental Services Housekeeper,PHYSICAL 2 - RDO,Department of Health,Nhulunbuy,Ongoing (Permanent) - Full Time,,Housekeeping Services,1,,14,1
187235,Senior Specialist Mental Health Worker,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Medical, Professional",1,,2,1
187244,Primary Health Care Manager Urban and Outreach,NURSE LEVEL 5 RDO,Department of Health,Tennant Creek,Ongoing (Permanent) - Full Time,,Nursing and Midwifery,1,,5,1
187257,Audiologist,PROFESSIONAL 2,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Professional, Medical",1,,2,1
187259,"General Manager, Assets and Operations",EXECUTIVE OFFICER 3 - EXECUTIVE CONTRACT,Territory Generation,Darwin,Fixed (Temporary) - Full Time,,Executive and Senior Management,1,,16,1
187263,Occupational Therapist,PROFESSIONAL 2,Department of Health,Katherine,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Medical",1,,3,1
187264,Senior Radiographer – Lead Forensic,PROFESSIONAL 3,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Medical, Professional",1,,0,0
187270,Mechanical Tradesperson,TGEN TRADE TECHNICAL,Territory Generation,Alice Springs,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,10,1
187277,Electrical Tradesperson ,TGEN TRADE TECHNICAL,Territory Generation,Alice Springs,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,4,1
187285,Manager,SENIOR PROFESSIONAL OFFICER 1,Territory Families,Darwin,Ongoing (Permanent) - Full Time,,"Child Protection, Community Services, Executive and Senior Management, Professional, Social Work",1,,11,1
187286,Executive Officer,ADMINISTRATIVE OFFICER 5,Department of the Chief Minister and Cabinet,Darwin,Fixed (Temporary) - Full Time,YES,"Accounting and Finance, Administration and Business Services",1,,42,1
187291,Director Strategic Media Marketing and Communication,EXECUTIVE OFFICER 1 - EXECUTIVE CONTRACT,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Communication, Media and Public Relations, Executive and Senior Management",1,,44,1
187292,Heavy Vehicle Mechanic,TECHNICAL 3,"NT Police, Fire and Emergency Services",Alice Springs,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,4,0
187297,Preschool Teacher,CLASSROOM TEACHER,Department of Education,Darwin,Fixed (Temporary) - Part Time,,Education and Training,1,,0,0
187309,Regional Director,EXECUTIVE OFFICER 1 - EXECUTIVE CONTRACT,Department of the Chief Minister and Cabinet,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Executive and Senior Management",1,,10,0
187335,Connected Beginnings Administration Manager,ADMINISTRATIVE OFFICER 4,Department of Education,Tennant Creek,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training",1,,12,1
187356,Intake Coordinator ,PROFESSIONAL 2,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Professional, Medical",1,,12,1
187359,Biomedical Engineering Manager,SENIOR PROFESSIONAL OFFICER 1,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Engineering, Professional, Trades, Maintenance and Services",1,,13,0
187371,Manager Celebration and System Improvement,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training, Program and Project Management",1,,13,1
187374,Executive Assistant,ADMINISTRATIVE OFFICER 4,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,Administration and Business Services,1,,42,0
187376,Occupational Therapist,PROFESSIONAL 2,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Professional",1,,4,1
187393,"Regional Coordinator, Domestic, Family and Sexual Violence Reduction Policy",SENIOR ADMINISTRATIVE OFFICER 1,Department of the Chief Minister and Cabinet,Katherine,Fixed (Temporary) - Full Time,,"Administration and Business Services, Child Protection, Community Services, Social Work, Program and Project Management",1,,12,1
187396,Waste Autoclave Operator ,PHYSICAL 4 - RDO,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Full Time,YES,"Engineering, Trades, Maintenance and Services",1,,23,0
187403,Project Officer,ADMINISTRATIVE OFFICER 4,"Department of Infrastructure, Planning and Logistics",Alice Springs,Fixed (Temporary) - Full Time,,"Administration and Business Services, Program and Project Management",1,,27,0
187405,Business Support Officer,ADMINISTRATIVE OFFICER 4,Department of Health,Katherine,Fixed (Temporary) - Full Time,YES,"Accounting and Finance, Administration and Business Services",1,,0,0
187406,Aboriginal Employment Program Officer,ADMINISTRATIVE OFFICER 5,Department of Corporate and Digital Development ,Palmerston,Ongoing (Permanent) - Full Time,,"Human Resources and Work Health Safety, Administration and Business Services",1,,58,1
187410,Senior Court Officer - Registry,ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Legal, Information and Records Management",1,,10,0
187418,Radiographer,PROFESSIONAL 1,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Medical, Professional",1,,0,0
187423,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",Territory Families,"Alice Springs, Tennant Creek",Ongoing (Permanent) - Full Time,,"Child Protection, Professional, Social Work, Community Services",,Several,17,1
187433,Nurse Practitioner ,NURSE LEVEL 6 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,2,1
187435,People and Culture Business Partner,JACANA ENERGY LEVEL 3,Jacana Energy,Darwin,Ongoing (Permanent) - Part Time,,"Human Resources and Work Health Safety, Accounting and Finance, Administration and Business Services",1,,0,0
187437,Hospital Services Assistant (Equipment),PHYSICAL 3 - RDO,Department of Health,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,Housekeeping Services,15,,187,0
187438,Mental Health Nurse,NURSE LEVEL 2 RDO,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,YES,Nursing and Midwifery,2,,6,1
187443,Manager Child Development Team,SENIOR PROFESSIONAL OFFICER 1,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Executive and Senior Management",1,,1,1
187446,Regional Coordinator,SENIOR ADMINISTRATIVE OFFICER 1,Department of the Chief Minister and Cabinet,Tennant Creek,Fixed (Temporary) - Full Time,,"Administration and Business Services, Community Services, Program and Project Management",1,,3,0
187448,Records Manager ,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Information and Records Management",1,,6,1
187455,Administrative Officer Receptionist,ADMINISTRATIVE OFFICER 3,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,"Administration and Business Services, Medical",1,,43,3
187460,Erosion and Sediment Control Specialist,PROFESSIONAL 3,"Department of Environment, Parks and Water Security",Palmerston,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Professional",1,,3,0
187477,Senior Clinical Policy Officer,SENIOR PROFESSIONAL OFFICER 1,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Professional, Program and Project Management",1,,5,1
187495,Housing Officer,ADMINISTRATIVE OFFICER 4,"Department of Territory Families, Housing and Communities",Palmerston,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,55,1
187496,Grants Coordinator,ADMINISTRATIVE OFFICER 6,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Procurement, Grants and Contract Management",1,,43,1
187506,Senior Grants Administrator,ADMINISTRATIVE OFFICER 7,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Procurement, Grants and Contract Management",1,,28,1
187508,Strategic Engagement and Communication Manager,SENIOR ADMINISTRATIVE OFFICER 1,Department of Trade Business and Innovation,Darwin,Ongoing (Permanent) - Full Time,,"Communication, Media and Public Relations, Administration and Business Services",1,,30,1
187517,Senior Specialist Mental Health Worker ,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Medical, Nursing and Midwifery",1,,0,0
187524,Nurse/Midwife Education and Research Coordinator ,NURSE LEVEL 5,Department of Health,Darwin,Ongoing (Permanent) - Part Time,,"Nursing and Midwifery, Medical",1,,2,1
187536,Aquatic Resource Manager,ADMINISTRATIVE OFFICER 6,"Department of Industry, Tourism and Trade",Darwin,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Primary Industry, Science",2,,17,1
187543,Senior Specialist Aboriginal Health Practitioner,ABORIGINAL HEALTH PRACTITIONERS CLASS 4,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,2,0
187552,Director Media and Communications,SENIOR ADMINISTRATIVE OFFICER 2,"Department of Industry, Tourism and Trade",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Communication, Media and Public Relations, Program and Project Management",1,,2,0
187554,People and Culture Business Partner,JACANA ENERGY LEVEL 3,Jacana Energy,Darwin,Ongoing (Permanent) - Full Time,,"Human Resources and Work Health Safety, Accounting and Finance, Administration and Business Services",1,,19,1
187560,Clinical Nurse Specialist – Mental Health Access Team ,NURSE LEVEL 4 RDO,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,1,0
187569,Audiologist,PROFESSIONAL 2,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Medical",1,,4,0
187573,Principal Research Officer,ADMINISTRATIVE OFFICER 7,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Professional, Legal",1,,19,1
187577,Senior Investigator,ADMINISTRATIVE OFFICER 7,Office of the Independent Commissioner Against Corruption (NT),Darwin,Ongoing (Permanent) - Full Time,,"Legal, Professional, Administration and Business Services",1,,0,0
187593,"Manager, Performance Reporting and Decision Support",SENIOR ADMINISTRATIVE OFFICER 1,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Executive and Senior Management",1,,11,0
187600,Senior Finance Officer,ADMINISTRATIVE OFFICER 6,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,31,1
187604,Registered Nurse,NURSE LEVEL 2,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,Nursing and Midwifery,1,,33,2
187606,Renal Vascular Access Nurse,NURSE LEVEL 4 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,Nursing and Midwifery,1,,6,1
187609,Families as First Teachers Family Educator,SENIOR TEACHER 1,Department of Education,Milingimbi,Fixed (Temporary) - Full Time,,Education and Training,1,,5,1
187610,Technical Assistant,TECHNICAL 2,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Part Time,YES,"Medical, Science",2,,22,1
