Name,Physical Address,Postal Address,Region,URI,Email,Telephone Number,Fax Number,Sector,Is FAFT School,Is Pre School,Is Primary School,Is Middle School,Is Senior School,Principal,NTG Remote Definition
St John's Catholic College,"54 Salonika St, The Gardens, NT","Mail Bag 13, Darwin, 0820, NT",Darwin,http://www.stjohnsnt.catholic.edu.au/,admin.stjohns@nt.catholic.edu.au,(08) 8982 2222,(08) 8982 2204,Catholic,No,No,No,Yes,Yes,Cameron Hughes,
St Joseph's Catholic College,"Cnr Maluka Road & Chambers Drive, Katherine 0850, NT","PO Box 535, Katherine, 0850, NT",Big Rivers,https://www.stjoeys.college,admin.stjosephs@nt.catholic.edu.au,(08) 89723555,(08) 89723701,Catholic,No,No,Yes,Yes,Yes,Sunniva Antonucci,
St Joseph's Catholic Flexible Learning Centre,"5 Bloomfield Street, Alice Springs, 0870, NT","P O Box 2991, Alice Springs, 0871, NT",Central,https://www.ereafsn.edu.au/st-josephs-catholic-flc-alice-springs/,sjcflc@ereafsn.edu.au,89293900,,Catholic,No,No,No,Yes,No,Leon Robinson,
St Mary's Catholic Primary School,"3 Lindsay St, Darwin City, NT","PO Box 2413, Darwin, 0801, NT",Darwin,http://www.stmarysnt.catholic.edu.au/,admin.stmarys@nt.catholic.edu.au,(08) 8981 9796,(08) 8981 5286,Catholic,No,No,Yes,No,No,Lisa Boyd,
St Paul's Catholic Primary School,"Cnr Trower Road and Francis Street, Nightcliff, NT","PO Box 40344, Casuarina, 0811, NT",Darwin,http://www.stpaulsnt.catholic.edu.au/,admin.stpauls@nt.catholic.edu.au,(08) 8985 1911,(08) 8948 0227,Catholic,No,No,Yes,No,No,Jo Knight,
St Philip's College,"2 Ulpaya Rd, Alice Springs, NT","PO Box 33, Alice Springs, 0871, NT",Central,http://www.stphilips.nt.edu.au/,info@stphilips.nt.edu.au,(08) 8950 4511,(08) 8952 2822,Independent,No,No,No,Yes,Yes,Leslie Tilbrook,
Stirling School,"N/A, Wilora (Stirling Station) 0872, NT","c/- Ti Tree Post Office, Ti Tree, 0872, NT",Central,n/a,tony.tree@education.nt.gov.au,(08) 8956 9759,(08) 8956 9759,Government,No,Yes,Yes,Yes,No,Antony Tree,Remote Category 2
Stuart Park Pre School,"8 Nudl St, Stuart Park, NT",", , , ",Darwin,,,(08) 899 77322,,,No,Yes,No,No,No,,
Stuart Park Primary School,"8 Nudl St, Stuart Park, 0820, NT","PO Box 37421, Winnellie, 0831, NT",Darwin,http://www.stuartparkprimary.nt.edu.au,stuartpark.school@education.nt.gov.au,(08) 899 77333,,Government,No,Yes,Yes,No,No,Leisha Crompton,Urban
Taminmin College,"70 Challoner Cct, Humpty Doo, NT","PO Box 21, HUMPTY DOO, 0836, NT",Top End,http://www.taminmin.nt.edu.au/,admin.taminmin@education.nt.gov.au,(08) 898 37000,(08) 8988 2351,Government,No,No,No,Yes,Yes,John Harris,Urban
Tennant Creek High School,"38 Stuart St, Tennant Creek, NT","PO Box 546, Tennant Creek, 0861, NT",Barkly,n/a,admin.tchs@education.nt.gov.au,(08) 8962 2102,(08) 8962 3334,Government,No,No,No,Yes,Yes,Petrina Hayward,Remote Category 1
Tennant Creek Pre School,"31 Paterson St, Tennant Creek, NT",", , , ",Barkly,,,(08) 8962 2110,(08) 8962 4424,,No,Yes,No,No,No,,
Tennant Creek Primary School,"31 Paterson St, Tennant Creek, 0860, NT","PO Box 506, Tennant Creek, 0861, NT",Barkly,n/a,admin.tennasch@education.nt.gov.au,(08) 896 32424,(08) 8963 2422,Government,Yes,Yes,Yes,No,No,Katrina Georgiou,Remote Category 1
The Essington School,"22 Chapman Rd, Rapid Creek, NT","PO Box 42321, Casuarina, 0811, NT",Darwin,http://www.essington.nt.edu.au,administration@essington.nt.edu.au,(08) 8985 0100,(08) 8948 1910,Independent,No,Yes,Yes,Yes,Yes,Paul Nyhuis,
Ti Tree School,"26 Palmer St, Ti-Tree, NT","Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT",Central,n/a,mark.webster@education.nt.gov.au,(08) 8956 9743,(08) 8956 9999,Government,No,Yes,Yes,Yes,No,Mark Webster,Remote Category 1
Timber Creek School,"62 Wilson St, Timber Creek, NT","PMB 115, via Katherine, 0851, NT",Big Rivers,n/a,timbercreek.admin@education.nt.gov.au,(08) 8975 0714,(08) 8975 0683,Government,No,Yes,Yes,Yes,No,Rita Ellen,Remote Category 2
Tipperary Station School,"Daly River Road, Tipperary, NT","PMB 214, via Winnellie, 0822, NT",Top End,n/a,carla.clough@education.nt.gov.au,(08) 8978 2765,(08) 8978 2786,Government,No,No,Yes,Yes,No,Carla Clough,Remote Category 2
Titjikala School,"N/A, Titjikala (Maryvale), NT","PMB 130, via Alice Springs, 0872, NT",Central,n/a,nanci.morrison@education.nt.gov.au,(08) 8956 0927,(08) 8956  0914,Government,No,Yes,Yes,No,No,Nanci Morrison,Remote Category 2
Tivendale School,"Tivendale Road, Berrimah, 0828, NT","PO Box 703, Karama, 0812, NT",Darwin,n/a,matt.watson@education.nt.gov.au,(08) 899 95910,tba,Government,No,No,No,No,No,,Urban
Tiwi College,"Pickertaramoor Melville Island, , NT","LMB 127, Winnellie, 0822, NT",Top End,http://www.tiwicollege.com/,admin.tiwicollege@ntschools.net,08 89709024,08 89709025,Independent,No,No,No,No,No,Greg Hollis,
Top End School of Flexible Learning,"1 Malak Place, Malak, 0812, NT","PO Box 703, Karama, 0812, NT",Darwin,n/a,malakrc.det@education.nt.gov.au,(08) 899 77199,8927 4292,Government,No,No,No,No,No,Jane Arnott,Urban
Urapunga School,"Blyth St, Rittarangu (Urapunga), NT","PMB 12, via Katherine, 0852, NT",Big Rivers,n/a,craig.watkins@education.nt.gov.au,(08) 8975 4645,(08) 8975 4998,Government,Yes,Yes,Yes,Yes,Yes,Craig Watkins,Remote Category 3
Wagaman Pre School,"35 Wagaman Tce, Wagaman, NT",", , , ",Darwin,,,(08) 8922 6011,(08) 8922 6000,,No,Yes,No,No,No,,
Wagaman Primary School,"35 Wagaman Tce, Wagaman, 0810, NT","PO Box 40019, CASUARINA, 0811, NT",Darwin,http://www.wagamanprimary.nt.edu.au,wagaman.school@education.nt.gov.au,(08) 8922 6011,(08) 8922 6000,Government,No,Yes,Yes,No,No,Mandy McKinnon,Urban
Wallace Rockhole School,"N/A, Wallace Rockhole, NT","PO Box 2256, Alice Springs, 0871, NT",Central,n/a,wallace.rockhole@education.nt.gov.au,(08) 8956 7330,(08) 8956 7330,Government,No,Yes,Yes,No,No,Steve Nankivell,Remote Category 2
Walungurru School,"N/A, Walungurru (Kintore), NT","PMB 14, via Alice Springs, 0872, NT",Central,n/a,walungurru.school@education.nt.gov.au,(08)  8964 6056,(08) 8956 8580,Government,Yes,Yes,Yes,No,No,Nick Richardson,Remote Category 3
Wanguri Pre School,"46 Gsell St, Wanguri, NT",", , , ",Darwin,,,(08) 8927 1655,(08) 8945 2193,,No,Yes,No,No,No,,
Wanguri Primary School,"46 Gsell St, Wanguri, 0810, NT","PO Box 40519, CASUARINA, 0811, NT",Darwin,http://wanguriprimary.nt.edu.au,wanguri.prim@education.nt.gov.au,(08) 8927 1655,(08) 8945 2193,Government,No,Yes,Yes,No,No,David Cluse,Urban
Warruwi School,"N/A, Warruwi (Goulburn Island), 0822, NT","PMB 90, via WINNELLIE, 0821, NT",Top End,n/a,ken.millar@education.nt.gov.au,(08) 8979 0222,(08) 8979 0215,Government,Yes,Yes,Yes,Yes,Yes,Ken Millar,Remote Category 3
Watarrka School,"n/a, Lilla Community, NT","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT",Central,n/a,tba,(08) 8956 7758,(08) 8956 7081,Government,No,No,Yes,Yes,No,tba tba,Remote Category 3
Watiyawanu School,"N/A, Mt Liebig, NT","PMB 111, via Alice Springs, 0872, NT",Central,n/a,l.kenny@education.nt.gov.au,(08) 8956 8555,(08) 8956 8555,Government,No,Yes,Yes,Yes,No,Larry Kenny,Remote Category 3
Willowra School,"N/A, Willowra, NT","PMB 102, via Alice Springs, 0872, NT",Central,n/a,willowra.school@education.nt.gov.au,(08) 8956 8408,(08) 8956 8408,Government,No,No,Yes,Yes,No,Barb Wilson,Remote Category 3
Woodroffe Pre School,"55 Woodroffe Ave, Woodroffe, NT",", , , ",Top End,,,(08) 8983 7611,,,No,Yes,No,No,No,,
Woodroffe Primary School,"55 Woodroffe Ave, Woodroffe, 0830, NT","PO Box 2021, PALMERSTON, 0831, NT",Top End,"https://woodroffeps.nt.edu.au/ ",woodroffe.ps@education.nt.gov.au,(08) 898 37600,,Government,No,Yes,Yes,No,No,Kristy West,Urban
Woolaning School,"Litchfield Park Rd, Litchfield Park, NT","PO Box 3261, Palmerston, 0831, NT",Top End,n/a,admin.woolasch@education.nt.gov.au,(08) 8978 2334,(08) 8978 2600,Government,No,No,Yes,No,No,Vanessa Lowe,Remote Category 2
Woolianna School,"Wooliana Rd, Daly River, NT","PMB 194, Winnellie, 0821, NT",Top End,http://www.wooliannaschool.nt.edu.au/,woolianna.school@education.nt.gov.au,(08) 8978 2984,(08) 8978 2629,Government,No,Yes,Yes,Yes,No,Jarrod Vague,Remote Category 2
Wugularr School,"Laiwanga St, Wugularr, NT","PMB 6, Katherine, 0851, NT",Big Rivers,n/a,admin.wugulsch@education.nt.gov.au,(08) 8975 4529,(08) 8975 4872,Government,Yes,Yes,Yes,Yes,Yes,Stephen Hill,Remote Category 2
Wulagi Pre School,"24 Brolga St, Wulagi, NT",", , , ",Darwin,,,(08) 898 37818,,,No,Yes,No,No,No,,
Wulagi Primary School,"24 Brolga St, Wulagi, 0812, NT","24 Brolga St, WULAGI, 0812, NT",Darwin,http://www.wulagiprimary.nt.edu.au/,wulagi.primary@education.nt.gov.au,(08) 898 37800,,Government,No,Yes,Yes,No,No,Ramon Dixon,Urban
Wurankuwu Homeland Learning Centre,"Community ID 868, Wurankuwu, NT","Nguiu, Bathurst Island, 0822, NT",Top End,not available,tba,(08) 8978 3986,(08) 8978 3922,Catholic,No,Yes,Yes,No,No,,
Xavier Catholic College,"Wurrumiyanga, Bathurst Island, NT","PMB 139,, via Winnellie, 0822, NT",Top End,http://www.xcecnt.catholic.edu.au/,admin.xcec@nt.catholic.edu.au,(08) 8978 3970,(08) 8978 3914,Catholic,No,No,No,Yes,Yes,Rhett Bowden,
Yarralin School,"N/A, Yarralin, NT","PMB 34, via Katherine, 0851, NT",Big Rivers,n/a,zoe.richardson@education.nt.gov.au,(08) 8975 0809,(08) 8975 0899,Government,No,Yes,Yes,Yes,No,Zoe Richardson,Remote Category 3
Yipirinya School,"Lovegrove Drive, Alice Springs, NT","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT",Central,http://www.yipirinya.com.au/,reception.yipirinya.ntschools.net,(08) 8952 5633,(08) 8952 3541,Independent,No,Yes,Yes,Yes,Yes,Gavin Morris,
Yirara College,"470 South Stuart Highway, Alice Springs, NT","PMB 51, Alice Springs, 0871, NT",Central,http://www.yirara.nt.edu.au/,info@yirara.nt.edu.au,(08) 8950 5644,(08) 8950 5666,Independent,No,No,No,Yes,Yes,Wesley Meurant,
Yirrkala Pre School,"Rankine Road, Yirrkala, NT",", , , ",East Arnhem,,,(08) 898 71988,(08) 89871725,,No,No,No,No,No,,
Yirrkala School,"Rankine Road, Yirrkala, NT","PO Box 896, Nhulunbuy, 0881, NT",East Arnhem,n/a,admin.yirrkala@ntschools.net,(08) 898 71988,(08) 8987 1725,Government,Yes,Yes,Yes,Yes,Yes,Katrina Hudson,Remote Category 1
Yuendumu Pre School,"Conniston Road, Yuendumu, NT",", , , ",Central,,,(08) 8956 4011,(08) 89 564001,,No,No,No,No,No,,
Yuendumu School,"Conniston Rd, Yuendumu, NT","C/ - Post Office, Yuendumu, 0870, NT",Central,http://www.yuendumuschool.nt.edu.au,admin.yuendumu@education.nt.gov.au,(08) 8956 4011,(08) 8956 4001,Government,Yes,Yes,Yes,Yes,Yes,Marisa Boscato,Remote Category 3
Yulara School,"21 Winmati St, Yulara, 0872, NT","PO Box 146, Yulara, 0872, NT",Central,https://yularaschool.nt.edu.au/,yulara.school@education.nt.gov.au,(08) 8956 2014,08 8956 2535,Government,No,Yes,Yes,Yes,Yes,Megan Stockley-Smith,Remote Category 1
Zuccoli Primary School,"130 Zuccoli Parade, Zuccoli, 0830, NT","PO Box 2222, PALMERSTON, 0832, NT",Top End,tba,ZuccoliPrimary@education.nt.gov.au,(08) 792 30222,,Government,No,No,Yes,No,No,Elizabeth Andrade,Urban
